cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-18.09897,15.25788,1.4712,-0.98957,-0.13041,-0.06111,0.98118,0.10952,0.54761,0.6,1.0,0.0152,0.06678,3.61127,1.67532,0.24232,0.3746,0.45557,0.94405,0.5969,0.45557
-18.13192,15.25886,2.63169,-0.98216,-0.08006,0.17015,0.97116,0.00437,0.02183,0.6,1.0,0.00175,0.06736,15.29209,1.96204,0.21782,0.63454,0.98067,0.17664,0.50967,0.98067
-18.06197,17.45218,-0.22452,-0.95379,-0.14006,-0.26583,0.96579,0.17643,0.88213,0.6,1.0,0.01958,0.06968,2.95202,1.71,0.24962,0.50641,0.50514,0.93098,0.58479,0.50514
-18.25812,16.92699,0.91358,-0.98373,-0.12465,-0.12937,0.98128,0.13333,0.66667,0.6,1.0,0.02095,0.07678,3.45478,1.721,0.24212,0.47299,0.41239,0.91091,0.58106,0.41239
-18.28202,17.01547,3.01998,-0.93484,-0.03352,0.35347,0.93765,0.0,0.0,nan,0.0,0.00393,0.06845,30.46547,1.71128,0.24056,0.68399,0.96401,0.28352,0.58436,0.96401
-18.16516,19.01108,-0.63866,-0.95685,-0.12466,-0.26249,0.95051,0.09376,0.46881,0.6,1.0,0.02095,0.07846,2.8606,1.83151,0.24246,0.57231,0.57586,0.79277,0.546,0.57586
-18.50668,18.90378,1.0113,-0.99512,-0.07665,-0.06207,0.96421,0.01679,0.08394,0.6,1.0,0.01395,0.06251,3.05732,1.81541,0.24856,0.47384,0.4755,0.77906,0.55084,0.4755
-18.3487,19.00702,3.0703,-0.90709,-0.07055,0.41498,0.94113,0.0,0.0,nan,0.0,0.00281,0.04337,25.81707,1.81691,0.23881,0.69637,0.95786,0.29985,0.55038,0.95786
-18.05739,21.55371,-2.13594,-0.92674,-0.1176,-0.35683,0.86261,0.0,0.0,nan,0.0,0.00624,0.20409,3.89636,1.93055,0.23335,0.80424,0.99254,0.25703,0.51799,0.99254
-18.3197,20.98762,-0.94793,-0.96572,-0.10371,-0.23796,0.89012,0.02579,0.12894,0.6,1.0,0.018,0.0814,2.06236,3.23824,0.24546,0.52851,0.52896,0.82434,0.30881,0.52896
-18.61737,21.07681,0.94745,-0.99763,-0.0687,-0.00242,0.9348,0.0,0.0,nan,0.0,0.01484,0.07904,2.62884,1.74102,0.24365,0.4405,0.57205,0.75047,0.57438,0.57205
-18.35488,20.98997,2.99038,-0.93178,-0.00768,0.36294,0.96674,0.0,0.0,nan,0.0,0.01423,0.09104,14.63034,1.71419,0.23601,0.64679,0.52229,0.27475,0.58337,0.52229
-18.13377,23.23082,-2.49778,-0.90469,-0.09805,-0.41464,0.85798,0.0,0.0,nan,0.0,0.00501,0.10293,20.65286,1.84172,0.21713,0.8056,0.99962,0.32928,0.54297,0.99962
-18.4806,22.79387,-1.08518,-0.9705,-0.09974,-0.21952,0.85871,0.0,0.0,nan,0.0,0.01056,0.04951,2.44046,1.68738,0.24439,0.49896,0.46922,0.77761,0.59263,0.46922
-18.80239,22.9901,0.96205,-0.99344,-0.05991,0.09741,0.91636,0.0,0.0,nan,0.0,0.00585,0.15206,16.63564,1.9072,0.22385,0.79457,0.9869,0.22427,0.52433,0.9869
-18.43437,23.02534,2.88899,-0.8779,0.07651,0.47269,0.94503,0.0,0.0,nan,0.0,0.00293,0.03781,23.13436,1.85199,0.2312,0.61324,0.92361,0.30897,0.53996,0.92361
