cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-26.06396,13.46017,-2.30575,-0.98942,-0.09617,-0.10865,0.97374,0.0,0.0,nan,0.0,0.00802,0.03077,7.16064,2.18596,0.2366,0.33907,0.63757,0.98317,0.45746,0.63757
-26.06921,13.35346,-1.78524,-0.99604,-0.08884,-0.00303,0.9817,0.0,0.0,nan,0.0,0.0081,0.02961,7.30008,2.08121,0.23545,0.35051,0.34527,0.99467,0.48049,0.34527
-26.29903,15.05308,-2.8222,-0.97554,-0.10493,-0.19318,0.95696,0.0,0.0,nan,0.0,0.01138,0.03774,6.24812,1.84689,0.23558,0.39816,0.47836,1.0,0.54145,0.47836
-26.12388,15.14248,-1.39752,-0.99399,-0.07509,0.0796,0.99053,0.0,0.0,nan,0.0,0.0072,0.03053,6.75673,1.82489,0.2387,0.3843,0.46551,0.79537,0.54798,0.46551
-26.0267,17.53655,-4.06027,-0.9092,-0.04563,-0.41386,0.95524,0.0,0.0,nan,0.0,0.0057,0.0185,7.15777,1.72299,0.24165,0.40127,0.56845,0.9819,0.58038,0.56845
-26.35017,17.0444,-3.09251,-0.97855,-0.03034,-0.20376,0.95664,0.0,0.0,nan,0.0,0.00584,0.02065,6.83031,2.65732,0.24089,0.3856,0.66251,0.94893,0.37632,0.66251
-26.13057,17.05576,-1.26317,-0.99263,0.01178,0.12064,0.9916,0.0,0.0,nan,0.0,0.01362,0.04759,6.22932,1.68441,0.24144,0.63734,0.47307,0.59331,0.59368,0.47307
-26.08287,19.14009,-4.13805,-0.92098,-0.03571,-0.38797,0.94287,0.0,0.0,nan,0.0,0.00693,0.0221,7.67462,2.4084,0.23393,0.39552,0.47135,1.0,0.41521,0.47135
-26.35402,18.97841,-3.0721,-0.99052,-0.00274,-0.13732,0.95976,0.0,0.0,nan,0.0,0.00706,0.02113,7.62933,2.19994,0.23229,0.43242,0.36033,0.97591,0.45456,0.36033
-26.0229,18.25767,-1.47291,-0.99329,0.0392,0.1088,0.99397,0.0,0.0,nan,0.0,0.01034,0.04558,7.23284,1.93809,0.23882,0.69871,0.75051,0.41507,0.51597,0.75051
