cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-24.54103,3.67102,-0.66407,-0.58218,-0.69878,-0.41566,0.72708,0.0,0.0,nan,0.0,0.01371,0.03862,21.35617,1.98289,0.23746,0.44997,0.67787,0.86312,0.50431,0.67787
-24.80781,3.46273,1.032,-0.61816,-0.7812,-0.08721,0.71338,0.0,0.0,nan,0.0,0.01584,0.05273,25.34943,2.24614,0.22716,0.53653,0.82227,0.78573,0.44521,0.82227
-24.66662,3.521,2.93933,-0.52908,-0.82758,0.18757,0.70349,0.0,0.0,nan,0.0,0.01309,0.05736,37.75758,2.15384,0.24008,0.52147,0.83294,0.62712,0.46429,0.83294
-24.36446,3.77207,4.65999,-0.36702,-0.89839,0.24123,0.67442,0.0,0.0,nan,0.0,0.02091,0.06479,68.8153,1.71121,0.24456,0.67555,0.791,0.566,0.58438,0.791
-24.0024,5.67909,-2.01004,-0.66084,-0.30561,-0.68549,0.92804,0.0,0.0,nan,0.0,0.01691,0.05456,20.26674,1.63867,0.24516,0.63155,0.60891,0.53928,0.61025,0.60891
-24.56686,5.04386,-0.89192,-0.77773,-0.36382,-0.5126,0.87547,0.0,0.0,nan,0.0,0.01206,0.04314,21.8505,2.61241,0.24275,0.47473,0.69122,0.64261,0.38279,0.69122
-25.40358,5.00486,1.01567,-0.9707,-0.2266,-0.07999,0.81899,0.0,0.0,nan,0.0,0.014,0.07897,22.72681,1.86569,0.23124,0.4162,0.8421,0.6569,0.53599,0.8421
-25.02485,4.98224,2.96252,-0.91785,-0.32036,0.23435,0.83084,0.0,0.0,nan,0.0,0.01814,0.07273,30.64855,2.55144,0.23709,0.54834,0.70904,0.48454,0.39193,0.70904
-24.86373,4.9784,5.01028,-0.88826,-0.39273,0.23823,0.79746,0.0,0.0,nan,0.0,0.01078,0.12611,93.40682,1.63867,0.25094,0.50215,0.84306,0.24759,0.61025,0.84306
-24.56799,5.06441,6.79016,-0.8107,-0.43637,0.39033,0.73697,0.0,0.0,nan,0.0,0.00562,0.09318,38.13685,2.98937,0.22368,0.70746,0.9448,0.23832,0.33452,0.9448
