cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-16.6797,1.82427,-0.62156,-0.34793,-0.91179,-0.21813,0.74901,0.0,0.0,nan,0.0,0.01622,0.06105,15.89186,1.83489,0.23993,0.52108,0.65396,0.57389,0.54499,0.65396
-16.89943,1.68494,0.96612,-0.36335,-0.92349,0.12307,0.73012,0.0,0.0,nan,0.0,0.0092,0.04063,15.93935,3.17582,0.24039,0.47345,0.76907,0.57352,0.31488,0.76907
-17.19954,1.99981,2.03284,-0.48767,-0.82959,0.27197,0.73512,0.0,0.0,nan,0.0,0.01192,0.02819,21.20298,1.67327,0.24361,0.60439,0.6952,0.76596,0.59763,0.6952
-16.83299,3.19857,-2.76056,-0.43547,-0.57301,-0.69428,0.78609,0.0,0.0,nan,0.0,0.01071,0.04694,21.17282,1.84608,0.25156,0.64239,0.51992,0.38874,0.54169,0.51992
-17.59013,2.72171,-1.19249,-0.75277,-0.56211,-0.34259,0.75371,0.0,0.0,nan,0.0,0.0148,0.07736,17.64487,1.65011,0.23942,0.60799,0.65508,0.35041,0.60602,0.65508
-17.90635,2.83988,1.0819,-0.89481,-0.4332,0.10794,0.7561,0.0,0.0,nan,0.0,0.00575,0.08181,32.47417,1.89033,0.2303,0.77231,0.93514,0.2372,0.52901,0.93514
-17.14491,2.56083,3.05302,-0.60304,-0.70805,0.36743,0.7735,0.0,0.0,nan,0.0,0.00788,0.03219,25.11547,3.04788,0.23784,0.66592,0.79293,0.45992,0.3281,0.79293
-16.65362,3.31023,4.66123,-0.6146,-0.55599,0.55959,0.79628,0.0,0.0,nan,0.0,0.00614,0.04374,25.21544,3.4091,0.24324,0.66588,0.81796,0.29061,0.29333,0.81796
-16.28688,5.7999,-4.59066,-0.62132,-0.38916,-0.68008,0.92911,0.0,0.0,nan,0.0,0.00589,0.01795,18.96897,3.20905,0.24224,0.45917,0.27943,0.78969,0.31162,0.27943
-17.15767,4.96275,-3.20307,-0.74231,-0.32205,-0.58759,0.88044,0.0,0.0,nan,0.0,0.00556,0.02869,22.2749,3.61709,0.24451,0.44968,0.40954,0.4698,0.27647,0.40954
-17.71307,5.0193,-0.97751,-0.99168,-0.00393,-0.12869,0.97549,0.0,0.0,nan,0.0,0.01144,0.08022,12.74481,1.83483,0.23438,0.65131,0.48773,0.25326,0.54501,0.48773
-17.61769,4.99984,1.02229,-0.9951,0.08173,0.05569,0.99738,0.0,0.0,nan,0.0,0.02145,0.08161,5.71016,1.69552,0.23692,0.69883,0.41641,0.5079,0.58979,0.41641
-17.44091,4.97461,3.02589,-0.96818,-0.0887,0.234,0.97039,0.0,0.0,nan,0.0,0.00686,0.11087,10.59843,2.69688,0.2352,0.57861,0.90386,0.25035,0.3708,0.90386
-16.88436,5.01121,5.10535,-0.76018,-0.16787,0.62765,0.89093,0.0,0.0,nan,0.0,0.0112,0.06589,27.68425,1.80634,0.23036,0.76822,0.80087,0.28331,0.55361,0.80087
-16.1162,5.75745,6.05586,-0.57961,-0.14461,0.80196,0.92632,0.0,0.0,nan,0.0,0.00301,0.03316,27.39107,3.38501,0.22913,0.77363,0.96414,0.40041,0.29542,0.96414
-16.685,6.959,-4.7976,-0.76327,-0.1779,-0.62111,0.88724,0.00926,0.04628,0.6,1.0,0.00396,0.03086,21.14467,1.90537,0.2293,0.49236,0.69429,0.28519,0.52483,0.69429
-17.34231,7.03545,-3.00656,-0.94767,-0.03606,-0.31721,0.9601,0.01876,0.09381,0.51,1.0,0.00778,0.06856,12.32864,3.25268,0.23181,0.55128,0.508,0.23932,0.30744,0.508
-17.47726,6.99464,-1.04816,-0.99653,0.05216,-0.06492,0.99698,0.07585,0.13116,0.51,0.88178,0.00779,0.06509,6.71311,1.91948,0.2259,0.67335,0.9466,0.6219,0.52098,0.9466
-17.48175,6.96563,0.9979,-0.99857,0.01823,0.05024,0.99588,0.22237,0.22237,0.51,0.72587,0.02061,0.06901,4.79608,1.84211,0.22412,0.4267,0.39905,0.99181,0.54285,0.39905
-17.25909,6.96559,2.97701,-0.987,0.02457,0.15883,0.99758,0.0,0.0,nan,0.0,0.0126,0.06114,5.20852,2.05265,0.23141,0.40053,0.35968,0.71222,0.48717,0.35968
-16.90942,6.95121,5.06092,-0.83658,-0.02606,0.54722,0.93891,0.0,0.0,nan,0.0,0.00568,0.03565,21.41076,3.63024,0.26052,0.64257,0.81879,0.34744,0.27546,0.81879
