cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-24.12577,3.06156,1.59036,-0.95567,-0.27809,-0.0967,0.84969,0.0,0.0,nan,0.0,0.01279,0.06645,8.46022,1.90941,0.23782,0.63682,0.63823,0.37366,0.52372,0.63823
-24.30061,3.13203,2.96297,-0.94378,-0.3223,0.07347,0.82239,0.0,0.0,nan,0.0,0.00486,0.09273,10.28997,3.4653,0.2484,0.42761,0.89497,0.2728,0.28858,0.89497
-24.13772,3.49236,4.38901,-0.89639,-0.33803,0.28674,0.84644,0.0,0.0,nan,0.0,0.00631,0.04971,9.32292,1.90422,0.23603,0.6246,0.8796,0.42165,0.52515,0.8796
-24.04243,4.16186,1.86558,-0.99091,-0.00778,-0.13429,0.9788,0.0,0.0,nan,0.0,0.00813,0.08918,7.12976,1.93169,0.22509,0.72169,0.87822,0.27439,0.51768,0.87822
-24.14364,4.93346,3.08878,-0.9984,0.04766,-0.03047,0.985,0.0,0.0,nan,0.0,0.00865,0.06522,7.02863,1.86579,0.23627,0.6795,0.80904,0.30912,0.53597,0.80904
-24.14824,4.94657,4.53147,-0.97189,-0.02961,0.23358,0.94642,0.0,0.0,nan,0.0,0.01597,0.07324,6.28808,3.44495,0.24161,0.6884,0.69122,0.41745,0.29028,0.69122
-24.03264,6.15173,3.669,-0.99364,0.11116,0.01814,0.98175,0.0,0.0,nan,0.0,0.01412,0.05414,5.10565,1.87805,0.2349,0.4406,0.35587,0.82365,0.53247,0.35587
-24.02947,6.23251,4.37523,-0.98589,0.09455,0.13811,0.9721,0.0004,0.00202,0.7,1.0,0.02243,0.07091,5.38086,1.81709,0.23313,0.51499,0.32713,0.8425,0.55033,0.32713
-24.01345,35.79694,-0.25616,-0.99866,-0.04451,-0.02651,0.97271,0.026,0.12998,0.51,1.0,0.0371,0.14152,3.62745,2.04053,0.19041,0.43429,0.64528,0.93631,0.49007,0.64528
-24.02287,35.56726,0.84319,-0.99898,-0.04146,0.01787,0.98246,0.13565,0.67824,0.51,1.0,0.0289,0.11088,3.3105,2.08215,0.20573,0.41956,0.63118,0.99656,0.48027,0.63118
-24.00278,37.86868,-2.06898,-0.99429,-0.03136,-0.10196,0.94135,0.0,0.0,nan,0.0,0.01875,0.10009,3.72011,2.01431,0.22567,0.40287,0.53689,0.71496,0.49645,0.53689
-24.06391,37.06544,-0.67146,-0.9983,-0.04414,-0.03801,0.94927,0.0,0.0,nan,0.0,0.02007,0.10936,3.07581,2.05779,0.20695,0.31041,0.65257,0.97582,0.48596,0.65257
-24.07812,36.95975,1.05473,-0.9987,-0.03296,0.03885,0.96764,0.11074,0.5537,0.51,1.0,0.02175,0.10073,3.0869,2.07312,0.2027,0.3575,0.51491,0.99525,0.48236,0.51491
-24.01958,37.33896,2.09973,-0.99435,-0.02205,0.10386,0.97028,0.04006,0.20032,0.51,1.0,0.01492,0.0933,2.80242,2.02389,0.21689,0.45369,0.84893,0.88399,0.4941,0.84893
-24.02673,39.0576,-2.28858,-0.99233,-0.0258,-0.12093,0.92592,0.0,0.0,nan,0.0,0.0089,0.09335,4.70999,1.70036,0.22266,0.40124,0.50313,0.33852,0.58811,0.50313
-24.15168,38.96599,-0.91655,-0.9981,-0.02871,-0.05447,0.92734,0.0,0.0,nan,0.0,0.01048,0.09291,5.69012,1.81709,0.21526,0.35755,0.57562,0.42629,0.55033,0.57562
-24.15603,38.97706,0.8856,-0.99881,-0.02327,0.04283,0.94054,0.02062,0.10309,0.51,1.0,0.02289,0.10812,3.79449,2.04709,0.21255,0.33506,0.7223,0.96503,0.4885,0.7223
-24.04184,39.01612,2.23517,-0.99241,-0.01619,0.12189,0.95221,0.0,0.0,nan,0.0,0.0252,0.10227,2.3869,1.89156,0.23001,0.46811,0.58128,0.96741,0.52866,0.58128
-24.06429,41.09107,-2.35353,-0.99051,-0.01394,-0.13674,0.91201,0.0,0.0,nan,0.0,0.01289,0.08815,5.8397,1.81709,0.22557,0.43947,0.53882,0.44674,0.55033,0.53882
-24.18312,40.98451,-0.92368,-0.99886,-0.01339,-0.0458,0.91587,0.00162,0.00809,0.6,1.0,0.01204,0.09072,6.32887,1.66253,0.21598,0.39654,0.50314,0.4406,0.60149,0.50314
-24.15625,40.95776,1.05709,-0.99813,-0.00489,0.0609,0.91638,0.00654,0.03268,0.6,1.0,0.00883,0.125,4.43808,1.6519,0.21788,0.43686,0.79392,0.27278,0.60536,0.79392
-24.04766,40.91999,2.39436,-0.99101,0.00364,0.13376,0.93262,0.06122,0.30612,0.6,1.0,0.03623,0.14766,3.35668,1.85212,0.22504,0.41096,0.53218,0.95279,0.53992,0.53218
-24.06572,43.03436,-2.51605,-0.98879,-0.00514,-0.14924,0.89882,0.0,0.0,nan,0.0,0.01312,0.09361,5.01333,1.6519,0.23047,0.39379,0.51073,0.49772,0.60536,0.51073
-24.20292,42.91714,-1.03033,-0.99879,-0.00547,-0.04894,0.86745,0.0,0.0,nan,0.0,0.00977,0.12598,5.00187,1.81709,0.21388,0.28442,0.77986,0.42188,0.55033,0.77986
-24.17011,42.95263,0.86609,-0.99771,0.01131,0.06661,0.911,0.12,0.6,0.51,1.0,0.01124,0.1363,4.08893,1.6519,0.21517,0.41047,0.6349,0.29919,0.60536,0.6349
-24.03352,42.81199,2.27282,-0.99016,0.01481,0.13913,0.92714,0.06965,0.34827,0.51,1.0,0.01564,0.17206,2.98054,2.03705,0.21137,0.32888,0.89016,0.83729,0.49091,0.89016
-24.0821,44.92356,-2.37103,-0.99069,0.00263,-0.13613,0.82289,0.0,0.0,nan,0.0,0.01763,0.08678,2.62866,1.88439,0.24026,0.61263,0.86087,0.90528,0.53068,0.86087
-24.18753,44.978,-1.03586,-0.99906,0.00611,-0.04287,0.79762,0.0,0.0,nan,0.0,0.02485,0.12757,2.74528,1.66461,0.24042,0.45406,0.82926,0.99364,0.60074,0.82926
-24.12219,45.07066,1.09348,-0.99605,0.00411,0.08871,0.88593,0.00683,0.03413,0.51,1.0,0.01321,0.11619,4.35789,1.75947,0.22539,0.28139,0.58057,0.58958,0.56835,0.58057
-24.01463,44.96008,2.09715,-0.98946,0.00805,0.14461,0.91171,0.04391,0.18138,0.51,0.98684,0.01883,0.11459,4.491,1.6519,0.22022,0.28579,0.65192,0.83124,0.60536,0.65192
-24.08433,47.19398,-2.37422,-0.99051,-0.0032,-0.13742,0.80919,0.0,0.0,nan,0.0,0.01077,0.11064,3.13289,1.82559,0.23811,0.59061,0.93968,0.68707,0.54777,0.93968
-24.19784,46.99269,-0.84781,-0.99963,-0.00633,-0.02643,0.79062,0.0,0.0,nan,0.0,0.01878,0.11164,2.80115,1.6519,0.24316,0.37848,0.82189,0.98919,0.60536,0.82189
-24.13581,47.03865,1.1323,-0.99491,-0.01568,0.09954,0.87903,0.0,0.0,nan,0.0,0.00716,0.07745,4.34487,1.6519,0.22205,0.25064,0.52051,0.5389,0.60536,0.52051
-24.02385,47.13866,2.12104,-0.9871,-0.00841,0.15988,0.93343,0.07604,0.38018,0.6,1.0,0.01872,0.10167,3.96023,1.65511,0.22575,0.33287,0.65856,0.83247,0.60419,0.65856
-24.07408,49.09293,-2.61592,-0.98694,-0.00597,-0.16095,0.8231,0.0,0.0,nan,0.0,0.00945,0.12209,3.2699,1.67805,0.2374,0.44512,0.95817,0.83902,0.59593,0.95817
-24.22303,48.94891,-0.78301,-0.9993,-0.00965,-0.03603,0.77011,0.0,0.0,nan,0.0,0.01301,0.08398,2.7757,2.02244,0.23262,0.33089,0.71305,0.80528,0.49445,0.71305
-24.19609,48.98521,1.07346,-0.99503,-0.01361,0.09863,0.86593,0.14299,0.71495,0.6,1.0,0.01271,0.09262,3.93621,1.81709,0.23284,0.34011,0.68985,0.60858,0.55033,0.68985
-24.0479,49.106,2.27647,-0.98366,-0.00711,0.17991,0.94521,0.19582,0.97909,0.51,1.0,0.01676,0.10521,4.21513,1.6519,0.2238,0.52903,0.91922,0.96816,0.60536,0.91922
