cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-20.13621,5.65721,-2.18553,-0.81844,-0.29653,-0.49217,0.92076,0.0,0.0,nan,0.0,0.02051,0.06816,5.70263,2.01772,0.2411,0.48897,0.53824,0.83133,0.49561,0.53824
-20.33296,5.16311,-0.99598,-0.93941,-0.32884,-0.09681,0.91152,0.0,0.0,nan,0.0,0.01079,0.03986,5.60945,2.11127,0.23199,0.44995,0.23894,0.81605,0.47365,0.23894
-20.22151,5.46921,0.42653,-0.88557,-0.32198,0.3348,0.94195,0.00701,0.03504,0.51,1.0,0.02251,0.07338,5.57954,1.73359,0.24361,0.4795,0.52964,0.86909,0.57684,0.52964
-20.38581,7.14642,-2.46873,-0.79655,-0.23039,-0.55896,0.93873,0.0,0.0,nan,0.0,0.01238,0.04448,5.3473,1.84055,0.24501,0.38252,0.28382,1.0,0.54332,0.28382
-20.81266,6.96198,-1.05997,-0.95998,-0.24645,-0.13302,0.93842,0.0,0.0,nan,0.0,0.00855,0.03095,5.31265,2.09816,0.23714,0.54499,0.36916,0.69788,0.47661,0.36916
-20.58696,7.08761,0.96677,-0.8592,-0.27773,0.4297,0.95005,0.0769,0.38448,0.51,1.0,0.01175,0.0428,4.80576,1.87869,0.23567,0.38887,0.45468,1.0,0.53228,0.45468
-20.00177,7.99206,2.01169,-0.70145,-0.25764,0.66452,0.9705,0.21525,0.70068,0.51,0.9665,0.01367,0.03395,4.85942,1.8988,0.23159,0.57655,0.43572,0.98581,0.52665,0.43572
-20.61055,9.04519,-2.73993,-0.79408,-0.16305,-0.58553,0.94517,0.0,0.0,nan,0.0,0.00782,0.03589,4.76509,1.89422,0.23837,0.30976,0.31682,0.99901,0.52792,0.31682
-21.21108,9.03391,-1.09696,-0.97528,-0.15324,-0.15918,0.9622,0.0,0.0,nan,0.0,0.00628,0.02843,4.80028,3.19121,0.23695,0.58734,0.35115,0.53296,0.31336,0.35115
-21.01173,9.01561,1.18753,-0.8899,-0.20644,0.40677,0.94745,0.33972,0.33972,0.51,0.53735,0.0073,0.02801,4.70836,1.86881,0.25145,0.3926,0.45457,0.94597,0.5351,0.45457
-20.25076,9.29083,2.22106,-0.71775,-0.21071,0.66366,0.96957,0.13699,0.68493,0.51,1.0,0.01335,0.03176,5.30742,1.81262,0.23863,0.57875,0.51098,1.0,0.55169,0.51098
-20.74286,11.04201,-3.01183,-0.8044,-0.12342,-0.58113,0.95534,0.0,0.0,nan,0.0,0.0101,0.03917,4.23421,1.89998,0.23207,0.37984,0.66237,1.0,0.52632,0.66237
-21.34117,10.91123,-1.02286,-0.98422,-0.09581,-0.14874,0.98743,0.0,0.0,nan,0.0,0.0074,0.05033,4.81124,1.913,0.22842,0.68109,0.72538,0.30579,0.52274,0.72538
-21.38794,10.96652,1.17522,-0.93052,-0.12977,0.34247,0.94683,0.05489,0.27446,0.6,1.0,0.00668,0.03071,5.01088,1.84231,0.25158,0.32,0.37001,0.9513,0.5428,0.37001
-20.4323,11.07162,2.49285,-0.73566,-0.16091,0.65796,0.9758,0.14316,0.71582,0.6,1.0,0.01623,0.0385,5.2133,1.77157,0.24762,0.64292,0.36608,0.90703,0.56447,0.36608
-20.10292,13.36464,-4.0502,-0.65204,-0.08837,-0.75302,0.957,0.0,0.0,nan,0.0,0.00826,0.0409,4.66978,1.9091,0.23988,0.2883,0.30364,1.0,0.52381,0.30364
-20.83725,13.02274,-3.14957,-0.83214,-0.06565,-0.55067,0.96417,0.0,0.0,nan,0.0,0.01188,0.0435,4.36446,1.78565,0.23987,0.39826,0.38475,1.0,0.56002,0.38475
-21.48307,13.05807,-1.06358,-0.98563,-0.04234,-0.16353,0.9947,0.0,0.0,nan,0.0,0.01188,0.06743,4.50969,1.78683,0.23931,0.66872,0.84235,0.53974,0.55965,0.84235
-21.56291,12.97243,1.14537,-0.95665,-0.07772,0.28066,0.96022,0.02671,0.13353,0.51,1.0,0.00828,0.03246,4.98987,1.71825,0.24822,0.35741,0.43957,1.0,0.58199,0.43957
-20.57368,13.07022,2.67783,-0.75259,-0.11801,0.64783,0.97881,0.10153,0.50767,0.51,1.0,0.01774,0.05141,5.025,1.84546,0.23525,0.57839,0.61475,0.83379,0.54187,0.61475
-20.18088,15.09902,-4.16651,-0.68589,-0.04247,-0.72647,0.95991,0.0,0.0,nan,0.0,0.00637,0.04228,4.7604,1.93563,0.23873,0.21406,0.40308,1.0,0.51663,0.40308
-20.89314,14.95399,-3.05836,-0.86334,-0.0149,-0.5044,0.97746,0.0,0.0,nan,0.0,0.00748,0.02992,4.45051,1.92439,0.23821,0.37075,0.41708,0.97721,0.51965,0.41708
-21.48596,14.93741,-1.0788,-0.9837,-0.00537,-0.17976,0.99636,0.0,0.0,nan,0.0,0.01828,0.05197,4.53667,1.74804,0.23609,0.51157,0.72274,0.9909,0.57207,0.72274
-21.69992,15.0119,1.10872,-0.97543,-0.05197,0.21409,0.96573,0.0,0.0,nan,0.0,0.0087,0.0347,4.96998,1.90387,0.23665,0.35181,0.43563,1.0,0.52525,0.43563
-20.736,15.02733,2.9111,-0.74411,-0.07718,0.66358,0.96521,0.00012,0.00059,0.51,1.0,0.01307,0.05206,4.52856,1.89907,0.2456,0.47359,0.51523,0.76449,0.52657,0.51523
-20.19391,17.05864,-4.19464,-0.70939,-0.01843,-0.70458,0.96521,0.0,0.0,nan,0.0,0.01287,0.05904,5.42259,1.81256,0.23724,0.40363,0.64142,0.73941,0.55171,0.64142
-20.86488,16.98866,-3.00879,-0.8843,0.00724,-0.46686,0.98784,0.0,0.0,nan,0.0,0.0131,0.0449,4.73322,1.89932,0.22923,0.46103,0.41243,0.90046,0.5265,0.41243
-21.48163,16.99254,-1.00085,-0.98052,0.01516,-0.19581,0.99823,0.0,0.0,nan,0.0,0.01565,0.05328,4.43386,1.87266,0.22944,0.42616,0.59263,1.0,0.534,0.59263
-21.78007,17.02354,1.0239,-0.98594,-0.01319,0.1666,0.96168,0.0,0.0,nan,0.0,0.00839,0.04212,6.27609,1.91793,0.22131,0.43689,0.49756,0.60086,0.5214,0.49756
-20.85948,17.04066,2.9951,-0.73187,0.00106,0.68144,0.95285,0.0,0.0,nan,0.0,0.01004,0.06294,6.625,1.86178,0.23492,0.4827,0.63783,0.43024,0.53712,0.63783
-20.21647,19.03342,-4.23135,-0.73543,0.01009,-0.67752,0.96147,0.0,0.0,nan,0.0,0.016,0.07088,5.04192,1.64778,0.2406,0.46687,0.67787,0.67548,0.60688,0.67787
-20.84652,18.9671,-3.03724,-0.89616,0.03185,-0.44258,0.98826,0.0,0.0,nan,0.0,0.00988,0.0395,4.55154,1.72115,0.25051,0.4474,0.36818,0.8048,0.58101,0.36818
-21.47027,18.99822,-1.0102,-0.97909,0.04281,-0.19889,0.99802,0.0,0.0,nan,0.0,0.01505,0.06048,5.77952,2.044,0.22939,0.55003,0.51653,0.60897,0.48924,0.51653
-21.76513,19.01707,1.07966,-0.9849,0.03786,0.16895,0.94953,0.0,0.0,nan,0.0,0.00959,0.04498,7.00577,1.89928,0.22558,0.41257,0.55103,0.66466,0.52651,0.55103
-20.86925,18.98768,2.91843,-0.71964,0.05891,0.69185,0.94122,0.0,0.0,nan,0.0,0.00905,0.06281,7.55796,1.90558,0.2394,0.37923,0.6104,0.48065,0.52477,0.6104
-20.12055,20.91187,-4.1822,-0.75235,0.04721,-0.65707,0.97092,0.0,0.0,nan,0.0,0.00968,0.05087,4.64393,1.73397,0.23823,0.31966,0.35046,0.85184,0.57671,0.35046
-20.71289,20.986,-3.05401,-0.89491,0.04824,-0.44362,0.99158,0.0,0.0,nan,0.0,0.00551,0.03381,5.30582,1.89485,0.23335,0.39226,0.41135,0.57193,0.52775,0.41135
-21.27664,21.06867,-1.05072,-0.97653,0.04777,-0.20999,0.99958,0.0,0.0,nan,0.0,0.0075,0.0355,5.35994,2.36604,0.23011,0.58361,0.79121,0.57291,0.42265,0.79121
-21.6375,21.01938,0.98073,-0.98728,0.05858,0.1478,0.95545,0.0,0.0,nan,0.0,0.01081,0.04781,7.35094,3.58149,0.2453,0.46326,0.53282,0.62071,0.27921,0.53282
-20.78686,20.98191,2.71505,-0.73852,0.0689,0.67071,0.9433,0.0,0.0,nan,0.0,0.01039,0.05579,7.07975,1.73617,0.25641,0.52536,0.64809,0.45482,0.57598,0.64809
-20.05328,22.65225,-4.09291,-0.75973,0.06697,-0.64678,0.97372,0.0,0.0,nan,0.0,0.01131,0.04674,4.4492,1.73247,0.23271,0.35487,0.32914,0.98821,0.57721,0.32914
-20.645,23.00339,-3.05386,-0.88813,0.06645,-0.45477,0.99003,0.0,0.0,nan,0.0,0.00895,0.03376,5.21571,1.81256,0.23978,0.40385,0.3031,0.90825,0.55171,0.3031
-21.1975,22.99285,-0.9998,-0.97608,0.06971,-0.20595,0.99626,0.0,0.0,nan,0.0,0.01177,0.04673,5.56222,1.86678,0.24043,0.61138,0.79138,0.64585,0.53568,0.79138
-21.52156,22.97851,1.04468,-0.98059,0.07597,0.18073,0.93997,0.0,0.0,nan,0.0,0.01225,0.05222,6.10918,1.79235,0.23907,0.60187,0.70987,0.51736,0.55793,0.70987
-20.69016,22.96903,2.70219,-0.71388,0.09807,0.69337,0.92917,0.0,0.0,nan,0.0,0.00339,0.03298,5.37182,3.37328,0.25804,0.57141,0.85007,0.36322,0.29645,0.85007
-20.46529,24.96622,-2.98656,-0.87226,0.08828,-0.48101,0.98411,0.0,0.0,nan,0.0,0.00904,0.03474,4.55592,3.62512,0.2386,0.37439,0.64292,1.0,0.27585,0.64292
-21.03287,24.91785,-1.04463,-0.97728,0.08902,-0.19236,0.99636,0.0,0.0,nan,0.0,0.01209,0.04273,4.60746,1.64778,0.24082,0.6134,0.75435,0.67099,0.60688,0.75435
-21.27917,25.01376,1.01267,-0.97145,0.12542,0.20136,0.94475,0.0,0.0,nan,0.0,0.00639,0.03344,5.11269,1.86857,0.24746,0.52016,0.54861,0.5106,0.53517,0.54861
-20.56872,24.95579,2.50196,-0.70816,0.1349,0.69304,0.9137,0.0,0.0,nan,0.0,0.00652,0.0779,12.32352,2.6293,0.23092,0.69023,0.90808,0.28543,0.38033,0.90808
-20.46773,26.99273,-2.83226,-0.87346,0.09581,-0.47738,0.96843,0.0,0.0,nan,0.0,0.01398,0.04628,4.83095,2.20464,0.23164,0.44685,0.46823,0.95595,0.45359,0.46823
-20.88866,27.0361,-1.02278,-0.98239,0.08305,-0.1674,0.99013,0.0,0.0,nan,0.0,0.01105,0.03334,5.93823,2.69598,0.23972,0.59007,0.64725,0.75065,0.37092,0.64725
-20.98001,27.00781,1.01972,-0.95434,0.13214,0.26791,0.95192,0.0,0.0,nan,0.0,0.00645,0.0255,5.99863,3.62512,0.24435,0.50074,0.45579,0.6736,0.27585,0.45579
-20.33412,26.89411,2.32581,-0.74087,0.13837,0.65724,0.92897,0.0,0.0,nan,0.0,0.00302,0.07099,10.10269,1.81256,0.24115,0.53803,0.99045,0.41038,0.55171,0.99045
-20.38139,28.93091,-2.56031,-0.88039,0.16517,-0.44456,0.9623,0.0,0.0,nan,0.0,0.01132,0.04951,5.17137,1.83103,0.23372,0.52447,0.41847,0.60476,0.54614,0.41847
-20.86352,29.04314,-0.97792,-0.97595,0.16638,-0.14082,0.96978,0.0,0.0,nan,0.0,0.00638,0.02051,5.9878,1.81256,0.24274,0.45443,0.56504,0.91252,0.55171,0.56504
-20.72385,29.02474,1.06471,-0.93132,0.1801,0.31654,0.93364,0.0,0.0,nan,0.0,0.00881,0.02628,6.61947,3.23446,0.23545,0.59145,0.74122,0.73825,0.30917,0.74122
-20.11268,28.67833,2.13631,-0.71731,0.17933,0.67328,0.91879,0.0,0.0,nan,0.0,0.00307,0.05265,18.0803,1.64778,0.25589,0.71745,0.95227,0.25624,0.60688,0.95227
-20.16861,30.49279,-2.2552,-0.87573,0.24767,-0.41445,0.95815,0.0,0.0,nan,0.0,0.00895,0.03352,5.44411,1.64778,0.24645,0.48646,0.26984,0.75049,0.60688,0.26984
-20.34861,30.83064,-1.0006,-0.94872,0.26616,-0.17056,0.97694,0.0,0.0,nan,0.0,0.00658,0.02262,5.52727,2.3855,0.23698,0.49666,0.35643,0.79762,0.4192,0.35643
-20.29281,30.86687,1.05826,-0.88944,0.26076,0.37537,0.90934,0.0,0.0,nan,0.0,0.00582,0.02702,6.9045,3.21801,0.23537,0.57676,0.51325,0.48156,0.31075,0.51325
-20.06004,30.21326,2.03832,-0.70717,0.2115,0.67467,0.87788,0.0,0.0,nan,0.0,0.00316,0.05916,17.7619,2.24554,0.23304,0.69785,0.94676,0.2303,0.44533,0.94676
-20.05099,32.21119,0.8236,-0.89447,0.31307,0.31924,0.88411,0.0,0.0,nan,0.0,0.00447,0.02054,6.61856,3.58667,0.23683,0.57034,0.62794,0.49715,0.27881,0.62794
-18.23023,1.82911,-0.55638,-0.58879,-0.79968,-0.11761,0.82782,0.0,0.0,nan,0.0,0.01226,0.15043,22.50708,1.64778,0.24452,0.43328,0.74499,0.20482,0.60688,0.74499
-18.17228,1.82917,0.26159,-0.59265,-0.77246,0.22821,0.85565,0.0,0.0,nan,0.0,0.01399,0.04749,9.04594,1.81256,0.23702,0.41163,0.54704,0.87403,0.55171,0.54704
-18.63853,3.37508,-2.48586,-0.50562,-0.5253,-0.6844,0.90996,0.0,0.0,nan,0.0,0.00385,0.02762,22.0232,1.64778,0.24561,0.6668,0.87788,0.38609,0.60688,0.87788
-19.29362,2.78343,-1.09685,-0.73814,-0.63134,-0.23784,0.81516,0.0,0.0,nan,0.0,0.00405,0.08115,20.585,1.81256,0.25175,0.59669,0.92107,0.20264,0.55171,0.92107
-18.86287,3.05297,1.01156,-0.69696,-0.51907,0.49479,0.9082,0.0,0.0,nan,0.0,0.01182,0.05473,7.36085,2.3137,0.23452,0.64348,0.66277,0.42679,0.43221,0.66277
-19.02869,5.06315,-2.98471,-0.53944,-0.36533,-0.75864,0.95057,0.0,0.0,nan,0.0,0.00278,0.02142,13.08493,2.5176,0.22882,0.49455,0.45948,0.30303,0.3972,0.45948
-19.93206,4.28218,-1.35505,-0.85817,-0.43796,-0.26782,0.88245,0.0,0.0,nan,0.0,0.01822,0.11963,7.06442,1.90759,0.22709,0.63262,0.81711,0.39333,0.52422,0.81711
-19.35514,4.86126,1.29619,-0.72977,-0.33913,0.59366,0.96832,0.01632,0.08162,0.51,1.0,0.01313,0.04998,5.71865,1.72967,0.23513,0.66969,0.34219,0.52949,0.57814,0.34219
-18.38634,5.33925,2.26259,-0.52974,-0.29118,0.79661,0.99345,0.44302,0.44302,0.51,0.54717,0.01459,0.0493,5.33479,1.85879,0.23121,0.52968,0.48992,0.76815,0.53799,0.48992
-18.1037,7.64763,-4.02115,-0.32522,-0.14219,-0.93489,0.99397,0.0,0.0,nan,0.0,0.01112,0.04026,5.88166,1.82333,0.23431,0.44507,0.5187,0.83137,0.54845,0.5187
-19.08426,6.93292,-3.41784,-0.5165,-0.20135,-0.83228,0.97414,0.0,0.0,nan,0.0,0.01565,0.05347,5.6614,1.66901,0.23734,0.54815,0.57422,0.72269,0.59916,0.57422
-19.79119,6.64834,1.72296,-0.70757,-0.29428,0.64245,0.96874,0.63841,0.63841,0.51,0.60231,0.01691,0.04154,4.65008,1.87816,0.2347,0.58314,0.41061,0.99862,0.53244,0.41061
-18.90289,7.13387,2.5859,-0.54005,-0.27178,0.79654,0.98971,0.16148,0.8074,0.51,1.0,0.05492,0.13132,4.3123,1.89342,0.22642,0.61312,0.56807,0.99848,0.52815,0.56807
-18.43263,9.24357,-4.16779,-0.30398,-0.15553,-0.9399,0.98868,0.0,0.0,nan,0.0,0.0081,0.04025,6.02387,3.40955,0.24659,0.45975,0.75795,0.59828,0.29329,0.75795
-19.3914,8.82021,-3.68522,-0.49898,-0.16873,-0.85003,0.96656,0.0,0.0,nan,0.0,0.01032,0.04474,5.65909,2.72507,0.23566,0.45399,0.67975,0.68751,0.36696,0.67975
-19.05599,8.91716,3.02328,-0.52558,-0.2314,0.81867,0.99574,0.1822,0.71373,0.51,0.98272,0.04573,0.10796,4.67095,1.74846,0.22932,0.62489,0.67647,0.96812,0.57193,0.67647
-18.85177,11.07769,-4.40389,-0.34746,-0.17572,-0.92108,0.97009,0.0,0.0,nan,0.0,0.00817,0.04509,5.49041,2.57085,0.22993,0.45488,0.70763,0.54354,0.38898,0.70763
-19.75749,10.71568,-3.89337,-0.54829,-0.16272,-0.8203,0.9543,0.0,0.0,nan,0.0,0.00771,0.03913,5.23612,1.87825,0.24385,0.38139,0.48811,0.71429,0.53241,0.48811
-19.17868,10.96277,3.52276,-0.51546,-0.17732,0.83837,0.99335,0.14662,0.73312,0.6,1.0,0.02684,0.06573,4.72029,1.83058,0.23127,0.5999,0.60731,0.96923,0.54628,0.60731
-18.23337,11.45551,4.08777,-0.3789,-0.14045,0.91472,0.99366,0.05844,0.29218,0.6,1.0,0.01172,0.06804,7.79217,1.64778,0.24264,0.66445,0.60278,0.32589,0.60688,0.60278
-19.0322,13.03152,-4.65535,-0.40684,-0.1339,-0.90363,0.97216,0.0,0.0,nan,0.0,0.01141,0.05058,5.38809,2.21338,0.24088,0.454,0.54541,0.68114,0.4518,0.54541
-19.9703,12.06177,-3.99302,-0.60231,-0.13528,-0.78672,0.95254,0.0,0.0,nan,0.0,0.00855,0.04351,4.83144,1.84036,0.25185,0.32636,0.49002,0.85165,0.54337,0.49002
