cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-18.40467,1.74337,-0.62847,-0.63619,-0.69631,-0.33229,0.81806,0.0,0.0,nan,0.0,0.01144,0.0348,7.18405,3.35633,0.23574,0.5659,0.43991,0.74281,0.29794,0.43991
-18.68723,1.57758,1.01633,-0.62007,-0.78418,-0.02385,0.80207,0.0,0.0,nan,0.0,0.00776,0.0293,8.20803,1.64106,0.24035,0.52283,0.55698,0.63033,0.60936,0.55698
-18.54003,1.74676,2.63453,-0.5185,-0.78864,0.33046,0.78002,0.0,0.0,nan,0.0,0.01277,0.05378,14.61722,1.74482,0.24073,0.62544,0.60245,0.43149,0.57313,0.60245
-18.21389,3.4236,-2.21649,-0.66706,-0.30855,-0.6781,0.86949,0.0,0.0,nan,0.0,0.01252,0.08754,16.10005,1.64106,0.23803,0.57123,0.66102,0.28139,0.60936,0.66102
-18.86012,2.9368,-1.02177,-0.84379,-0.32409,-0.42777,0.86751,0.0,0.0,nan,0.0,0.00546,0.05646,8.89643,2.19828,0.24071,0.76839,0.89425,0.28618,0.4549,0.89425
-19.40427,2.94266,0.96352,-0.94698,-0.30386,-0.10444,0.85718,0.0,0.0,nan,0.0,0.00973,0.05564,10.33647,1.95237,0.23445,0.68582,0.62124,0.30425,0.5122,0.62124
-19.31863,2.79392,3.19705,-0.78242,-0.43297,0.44761,0.74765,0.0,0.0,nan,0.0,0.0166,0.07121,31.29526,1.72475,0.24196,0.72598,0.46667,0.34157,0.57979,0.46667
-18.58835,3.33331,4.33494,-0.52212,-0.35431,0.7758,0.80544,0.0,0.0,nan,0.0,0.01484,0.03309,20.71987,1.99921,0.23443,0.55448,0.52913,0.88715,0.5002,0.52913
-18.31503,5.08192,-2.42713,-0.76939,-0.13472,-0.62442,0.90802,0.0,0.0,nan,0.0,0.01656,0.15254,5.74069,2.52432,0.23409,0.60732,0.88646,0.42778,0.39615,0.88646
-18.82846,5.01064,-1.01714,-0.94281,-0.01743,-0.33288,0.99253,0.0,0.0,nan,0.0,0.01715,0.07407,5.12042,1.87641,0.2345,0.61967,0.32155,0.51968,0.53293,0.32155
-19.20829,4.99706,1.03286,-0.98803,0.02621,-0.15205,1.00028,0.0,0.0,nan,0.0,0.02592,0.09332,5.62455,1.68146,0.23754,0.58687,0.48411,0.64147,0.59472,0.48411
-19.62062,4.99478,3.01462,-0.96309,-0.04966,0.26456,0.89442,0.0,0.0,nan,0.0,0.00731,0.04932,27.98285,1.71278,0.23546,0.57418,0.5562,0.27645,0.58385,0.5562
-18.44565,5.18482,4.19157,-0.62784,-0.15604,0.76254,0.93186,0.0,0.0,nan,0.0,0.01201,0.03256,28.15022,1.88221,0.23873,0.60283,0.76055,0.678,0.53129,0.76055
-18.27578,6.97913,-2.54743,-0.84404,-0.05528,-0.53343,0.97664,0.0,0.0,nan,0.0,0.0114,0.14277,7.81468,1.88521,0.23703,0.73896,0.89865,0.25883,0.53045,0.89865
-18.81385,7.00886,-1.03838,-0.95843,-0.02909,-0.28384,0.99908,0.0,0.0,nan,0.0,0.0207,0.07544,4.89901,1.9906,0.23475,0.41191,0.62765,0.93818,0.50236,0.62765
-19.21484,7.01724,1.02769,-0.98789,-0.02253,-0.15351,1.00067,0.0,0.0,nan,0.0,0.00971,0.05458,5.69457,1.69597,0.22193,0.24592,0.64314,0.97751,0.58963,0.64314
-19.45122,6.97619,2.98925,-0.97702,-0.02664,0.21148,0.94625,0.0,0.0,nan,0.0,0.00608,0.0614,25.18595,2.00876,0.23392,0.55986,0.80256,0.22969,0.49782,0.80256
-18.83056,6.97878,4.78996,-0.65961,-0.087,0.74656,0.86959,0.0,0.0,nan,0.0,0.011,0.03705,31.05232,1.87131,0.23123,0.54335,0.53459,0.58144,0.53438,0.53459
-18.32563,9.05917,-2.61639,-0.83997,-0.03606,-0.54143,0.9676,0.0,0.0,nan,0.0,0.02591,0.23909,8.45776,2.3611,0.22755,0.72769,0.72318,0.18412,0.42353,0.72318
-18.93676,8.9864,-1.04046,-0.95808,-0.04124,-0.28352,0.99978,0.0,0.0,nan,0.0,0.01852,0.07557,4.62063,1.99076,0.22905,0.35114,0.47857,1.0,0.50232,0.47857
-19.378,8.99024,0.99547,-0.98998,-0.04156,-0.13495,0.99799,0.0,0.0,nan,0.0,0.01226,0.06664,5.80789,1.83641,0.22955,0.30423,0.80103,0.9718,0.54454,0.80103
-19.51081,8.99127,2.9833,-0.97104,0.03927,0.23565,0.93851,0.0,0.0,nan,0.0,0.00536,0.12786,29.24998,1.75142,0.23479,0.84558,0.97954,0.19949,0.57096,0.97954
-18.79971,8.95441,4.7311,-0.67824,0.11694,0.72547,0.88062,0.0,0.0,nan,0.0,0.01151,0.03603,23.04826,1.95872,0.22781,0.6251,0.46006,0.55547,0.51054,0.46006
-18.3896,11.02861,-2.7317,-0.84909,-0.05935,-0.5249,0.97793,0.0,0.0,nan,0.0,0.00254,0.08043,16.43419,1.80517,0.24353,0.79745,0.98905,0.18919,0.55396,0.98905
-18.9796,10.9975,-0.98927,-0.95762,-0.04037,-0.28521,1.00067,0.0,0.0,nan,0.0,0.01237,0.06919,4.6803,2.05169,0.22381,0.25658,0.52629,0.99451,0.4874,0.52629
-19.39748,11.00922,0.97093,-0.99306,-0.0292,-0.11389,0.99769,0.02339,0.11697,0.7,1.0,0.01211,0.06037,5.75237,2.02642,0.2329,0.27037,0.34477,1.0,0.49348,0.34477
-19.43456,11.04344,2.98485,-0.93273,0.05076,0.35698,0.9254,0.00184,0.00919,0.7,1.0,0.00284,0.07022,53.24551,2.56248,0.23276,0.85685,0.99662,0.23214,0.39025,0.99662
-18.62261,10.9911,4.45297,-0.62983,0.07653,0.77295,0.91309,0.0,0.0,nan,0.0,0.00432,0.01454,21.36447,1.83108,0.23895,0.48076,0.59919,0.67609,0.54613,0.59919
-18.34162,13.0283,-2.84843,-0.85794,-0.04342,-0.51192,0.98766,0.0,0.0,nan,0.0,0.00887,0.11504,12.1755,1.64106,0.2258,0.73846,0.91551,0.25839,0.60936,0.91551
-19.07853,13.01156,-0.93854,-0.95841,-0.04499,-0.28182,1.00008,0.0,0.0,nan,0.0,0.01647,0.06975,5.00765,1.86084,0.22837,0.34229,0.51141,0.96558,0.53739,0.51141
-19.57362,12.97182,0.94315,-0.9973,-0.01726,-0.07131,0.99263,0.01378,0.06889,0.7,1.0,0.01433,0.08632,5.288,1.65082,0.23213,0.22881,0.43017,1.0,0.60576,0.43017
-19.35941,12.95329,3.07277,-0.92085,-0.00151,0.38991,0.94268,0.01659,0.08296,0.7,1.0,0.00197,0.06489,40.85148,2.23354,0.22977,0.73206,0.99316,0.19588,0.44772,0.99316
-18.54905,12.96047,4.50297,-0.64866,-0.07418,0.75746,0.92342,0.0,0.0,nan,0.0,0.00352,0.01623,20.73184,2.04145,0.23719,0.38542,0.56839,0.61788,0.48985,0.56839
-18.02191,15.78749,-4.02837,-0.74236,-0.13984,-0.65525,0.96502,0.0,0.0,nan,0.0,0.00235,0.01918,17.60903,1.88481,0.22961,0.5926,0.81848,0.2952,0.53056,0.81848
-18.53105,15.04786,-2.94775,-0.86048,-0.07523,-0.5039,0.97039,0.0,0.0,nan,0.0,0.00648,0.04993,21.91911,2.19451,0.23609,0.66686,0.8004,0.25318,0.45568,0.8004
-19.16741,14.98231,-1.02551,-0.97146,0.00304,-0.2372,0.99869,0.0,0.0,nan,0.0,0.00373,0.03318,9.30706,1.71311,0.24818,0.38015,0.59459,0.35963,0.58373,0.59459
-19.52264,15.00011,0.96622,-0.99823,0.05104,-0.03054,0.99491,0.0,0.0,nan,0.0,0.00464,0.03621,9.03057,1.99834,0.23336,0.31716,0.57599,0.49328,0.50042,0.57599
-19.2028,15.03941,3.04036,-0.93981,0.05075,0.3379,0.98459,0.0,0.0,nan,0.0,0.01767,0.10778,8.39306,1.69162,0.23606,0.31569,0.75405,0.65151,0.59115,0.75405
-18.4616,14.9897,4.59418,-0.67988,0.04302,0.73206,0.90455,0.0,0.0,nan,0.0,0.01589,0.07459,19.2435,1.64106,0.23661,0.58653,0.54131,0.40086,0.60936,0.54131
-18.08932,17.26925,-4.15631,-0.80817,-0.132,-0.57396,0.95549,0.0,0.0,nan,0.0,0.00322,0.04478,16.90294,1.85541,0.23851,0.50532,0.9005,0.30681,0.53897,0.9005
