cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-22.41909,1.81344,-0.57759,-0.55558,-0.77637,-0.29763,0.8738,0.0,0.0,nan,0.0,0.015,0.05316,10.79341,1.7282,0.23941,0.52098,0.44695,0.64177,0.57864,0.44695
-22.73181,1.54937,1.04049,-0.57814,-0.81477,-0.04361,0.83354,0.0,0.0,nan,0.0,0.01153,0.04623,10.30525,1.65046,0.2453,0.4008,0.36046,0.74314,0.60589,0.36046
-22.58462,1.63279,2.85821,-0.58315,-0.77711,0.23671,0.83386,0.0,0.0,nan,0.0,0.01503,0.05398,8.90351,1.65046,0.24507,0.40853,0.55534,0.83447,0.60589,0.55534
-22.02895,1.96885,4.0245,-0.55313,-0.72395,0.41223,0.88971,0.0,0.0,nan,0.0,0.01829,0.04864,7.65722,2.0325,0.23937,0.48598,0.348,0.97576,0.49201,0.348
-22.38201,3.32851,-2.52079,-0.6912,-0.39043,-0.60812,0.91521,0.0,0.0,nan,0.0,0.01912,0.07768,9.28898,2.68237,0.23368,0.55155,0.48014,0.54239,0.3728,0.48014
-23.17135,2.80647,-1.0985,-0.80943,-0.45102,-0.37603,0.86484,0.0,0.0,nan,0.0,0.0066,0.06798,9.13479,2.24795,0.22391,0.63114,0.9002,0.36115,0.44485,0.9002
-23.68415,2.90497,0.9704,-0.9341,-0.35348,-0.05008,0.862,0.0,0.0,nan,0.0,0.01049,0.06369,13.05056,1.86809,0.24976,0.69717,0.7346,0.27238,0.53531,0.7346
-23.35492,2.82423,3.16144,-0.87072,-0.38273,0.30882,0.86263,0.0,0.0,nan,0.0,0.00615,0.05757,8.92291,1.93961,0.22777,0.56191,0.86074,0.36039,0.51557,0.86074
-22.56348,3.10828,4.77063,-0.74453,-0.38737,0.54371,0.89867,0.0,0.0,nan,0.0,0.01254,0.05572,8.62246,1.67015,0.24224,0.6041,0.81745,0.58516,0.59875,0.81745
-22.61841,5.00591,-2.76389,-0.78343,-0.07028,-0.61749,0.93439,0.0,0.0,nan,0.0,0.00626,0.05489,15.19018,2.24105,0.22751,0.63444,0.84552,0.29284,0.44622,0.84552
