cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-20.14734,1.70775,-0.7369,-0.86087,-0.50358,-0.07287,0.66086,0.0,0.0,nan,0.0,0.02116,0.06249,16.17854,1.81552,0.2355,0.51777,0.70009,0.73475,0.55081,0.70009
-20.07013,1.83956,0.17157,-0.88397,-0.45183,0.12019,0.69104,0.0,0.0,nan,0.0,0.0169,0.06959,20.07873,1.78038,0.24608,0.60066,0.81054,0.55127,0.56168,0.81054
-20.15969,2.64554,-0.94608,-0.9805,-0.16097,-0.11277,0.70043,0.0,0.0,nan,0.0,0.01449,0.06907,19.30298,1.89115,0.23645,0.40643,0.4794,0.5698,0.52878,0.4794
-20.08288,2.57986,0.44167,-0.97375,-0.1554,0.16633,0.75248,0.0,0.0,nan,0.0,0.02007,0.06325,21.47826,2.07418,0.2326,0.60601,0.51753,0.57247,0.48212,0.51753
-20.02785,45.79928,3.54719,-0.97677,-0.00325,0.21429,0.90503,0.0,0.0,nan,0.0,0.02277,0.18433,23.5487,1.84602,0.23686,0.68008,0.67545,0.19709,0.54171,0.67545
-20.0645,47.04578,3.13126,-0.99079,-0.02595,0.13289,0.93051,0.0,0.0,nan,0.0,0.00762,0.23312,16.40603,3.5148,0.23062,0.67545,0.9644,0.17292,0.28451,0.9644
-20.00106,46.98198,4.01921,-0.9159,0.00695,0.40134,0.88065,0.0,0.0,nan,0.0,0.00405,0.10927,53.2303,1.91571,0.2348,0.71835,0.99572,0.25038,0.522,0.99572
-20.00462,48.63803,1.93351,-0.9846,0.03964,-0.17024,0.97796,0.0,0.0,nan,0.0,0.00615,0.02089,10.23824,1.72506,0.23897,0.47473,0.4431,0.74174,0.57969,0.4431
-20.02045,48.48812,2.77917,-0.99936,0.03571,0.00161,0.95688,0.0,0.0,nan,0.0,0.00922,0.03256,9.53042,3.02135,0.2348,0.527,0.53526,0.65003,0.33098,0.53526
-20.02461,54.6206,-0.36996,-0.98825,-0.10691,-0.10928,0.98955,0.0,0.0,nan,0.0,0.00561,0.01778,12.45672,1.69719,0.24097,0.53411,0.38535,0.68536,0.58921,0.38535
-20.07945,55.28241,0.7575,-0.99784,-0.05614,0.03425,0.98615,0.0,0.0,nan,0.0,0.00488,0.01872,11.53039,1.81552,0.23786,0.48521,0.56292,0.63041,0.55081,0.56292
-20.05103,57.21417,-0.66665,-0.98293,0.04702,-0.17788,0.98605,0.0,0.0,nan,0.0,0.00473,0.01319,13.90289,3.5564,0.23466,0.52309,0.47037,0.78438,0.28118,0.47037
-20.16319,56.94847,0.73531,-0.99938,0.0038,0.03498,0.97626,0.0,0.0,nan,0.0,0.01186,0.0256,14.21003,1.65818,0.23548,0.63434,0.35406,0.83357,0.60307,0.35406
-20.12927,58.66229,-0.49471,-0.97399,0.13414,-0.18263,0.96627,0.0,0.0,nan,0.0,0.00558,0.0153,16.5328,1.88644,0.2335,0.49424,0.60461,0.82654,0.5301,0.60461
-20.10047,58.69618,0.55352,-0.99285,0.1178,-0.0194,0.96267,0.0,0.0,nan,0.0,0.00796,0.02178,16.51046,2.09043,0.23482,0.52805,0.73978,0.77568,0.47837,0.73978
-18.83743,1.70693,-2.48862,-0.48196,-0.72887,-0.48627,0.76257,0.0,0.0,nan,0.0,0.00554,0.06911,29.73548,1.71336,0.2358,0.62485,0.91945,0.29924,0.58365,0.91945
-19.06122,1.18073,-1.05144,-0.46796,-0.86256,-0.19238,0.75707,0.0,0.0,nan,0.0,0.01357,0.06961,13.34518,1.92404,0.22993,0.52445,0.43356,0.42753,0.51974,0.43356
-19.01771,1.29955,0.95706,-0.55397,-0.79077,0.26038,0.76546,0.0,0.0,nan,0.0,0.01725,0.05229,13.18299,2.57986,0.23522,0.59069,0.50904,0.6433,0.38762,0.50904
-18.56057,1.68417,2.57631,-0.41018,-0.70078,0.58365,0.73689,0.0,0.0,nan,0.0,0.01028,0.07873,32.66869,1.91067,0.23114,0.74314,0.89123,0.34024,0.52338,0.89123
-18.37282,3.09879,-4.41379,-0.70922,-0.29518,-0.64022,0.85278,0.0,0.0,nan,0.0,0.00851,0.02047,24.34048,2.68291,0.23495,0.61862,0.66199,0.7278,0.37273,0.66199
-19.33572,2.98038,-3.24137,-0.79305,-0.19368,-0.57755,0.79244,0.0,0.0,nan,0.0,0.0087,0.02579,19.01909,3.5373,0.23725,0.54122,0.61801,0.68907,0.2827,0.61801
-19.9221,3.57779,-1.1155,-0.98957,0.08351,-0.11736,0.85268,0.0,0.0,nan,0.0,0.01845,0.06194,27.77645,1.86442,0.24221,0.66419,0.47096,0.48086,0.53636,0.47096
-19.79209,3.24858,1.29133,-0.98054,-0.03924,0.19235,0.86857,0.0,0.0,nan,0.0,0.01532,0.04476,22.84856,2.11143,0.24219,0.59899,0.63025,0.62131,0.47361,0.63025
-19.21457,2.90061,3.28712,-0.64246,-0.42188,0.63974,0.68344,0.0,0.0,nan,0.0,0.01737,0.07064,45.05926,1.8969,0.23676,0.57173,0.7678,0.47632,0.52718,0.7678
-18.27707,5.61712,-4.32507,-0.84936,-0.08579,-0.5208,0.99624,0.0,0.0,nan,0.0,0.0091,0.02328,19.82767,2.19829,0.22209,0.54306,0.43688,0.79195,0.4549,0.43688
-18.76378,4.96159,-2.82952,-0.92363,0.06922,-0.37699,0.98246,0.0,0.0,nan,0.0,0.00964,0.02563,22.45991,2.54106,0.23541,0.52892,0.48275,0.77463,0.39354,0.48275
