cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-18.30805,3.63211,-0.37712,-0.56588,-0.6691,-0.48174,0.84308,0.0,0.0,nan,0.0,0.01197,0.03479,24.97446,1.86879,0.23586,0.58696,0.76479,0.66484,0.53511,0.76479
-18.73,3.2163,1.04976,-0.7117,-0.6704,-0.20988,0.7855,0.0,0.0,nan,0.0,0.00275,0.05913,30.69479,2.24165,0.22966,0.75671,0.97959,0.24682,0.4461,0.97959
-18.61741,3.23767,2.92723,-0.77556,-0.5785,0.25269,0.79339,0.0,0.0,nan,0.0,0.02288,0.07846,12.25991,1.64256,0.24926,0.37815,0.33821,0.8968,0.60881,0.33821
-18.15429,3.66241,4.15307,-0.6831,-0.39749,0.61268,0.80762,0.0,0.0,nan,0.0,0.01478,0.05821,18.68289,2.45381,0.23323,0.63057,0.69165,0.44582,0.40753,0.69165
-18.10539,5.69855,-2.09855,-0.74704,-0.28499,-0.60059,0.91858,0.0,0.0,nan,0.0,0.00388,0.03273,21.08499,2.04401,0.23973,0.37823,0.51865,0.34344,0.48923,0.51865
-18.6885,4.94621,-1.00714,-0.78763,-0.35959,-0.50033,0.86636,0.0,0.0,nan,0.0,0.00919,0.05263,23.69859,1.64256,0.2361,0.50216,0.68771,0.37704,0.60881,0.68771
-19.14006,5.00526,0.99894,-0.97311,-0.19279,-0.12605,0.90903,0.0,0.0,nan,0.0,0.02149,0.12295,11.32242,1.88924,0.23906,0.70525,0.57303,0.29164,0.52931,0.57303
-18.84113,4.96876,3.03644,-0.92737,-0.11649,0.35556,0.92832,0.0,0.0,nan,0.0,0.02188,0.10794,10.20171,2.05662,0.23537,0.69936,0.55557,0.34665,0.48623,0.55557
-18.22749,5.02467,4.29599,-0.71118,-0.08315,0.69807,0.8952,0.0,0.0,nan,0.0,0.01341,0.06087,21.77357,1.76496,0.23557,0.76272,0.77401,0.34167,0.56659,0.77401
-18.05737,6.95519,-2.10551,-0.80773,-0.07335,-0.58497,0.9669,0.0,0.0,nan,0.0,0.00746,0.05969,24.83811,1.81605,0.23157,0.52304,0.59028,0.25802,0.55065,0.59028
-18.65276,7.04752,-1.00226,-0.92065,-0.02571,-0.38954,0.97294,0.0,0.0,nan,0.0,0.00595,0.06983,19.42523,3.2342,0.25553,0.5133,0.7252,0.18307,0.3092,0.7252
-19.02874,6.97749,0.99189,-0.99762,0.06587,-0.02035,0.99008,0.0,0.0,nan,0.0,0.01747,0.08183,6.6389,1.80681,0.22701,0.41645,0.81753,0.85098,0.55346,0.81753
-18.75513,6.95913,3.02964,-0.91604,0.06313,0.39609,0.94732,0.0,0.0,nan,0.0,0.01267,0.08458,6.44018,1.9299,0.23089,0.5354,0.88661,0.65131,0.51816,0.88661
-18.21071,7.00421,4.27156,-0.6691,0.02812,0.74264,0.91127,0.0,0.0,nan,0.0,0.00417,0.02921,24.92989,2.92274,0.23945,0.77727,0.85261,0.29549,0.34215,0.85261
-18.08323,9.1638,-2.11608,-0.7725,0.08675,-0.62906,0.96894,0.0,0.0,nan,0.0,0.00258,0.02288,20.82439,1.8037,0.23384,0.4158,0.72843,0.29674,0.55442,0.72843
-18.55605,8.9563,-0.97667,-0.91066,0.0705,-0.4071,0.9667,0.0,0.0,nan,0.0,0.0021,0.04748,11.1744,1.82772,0.24286,0.38427,0.89323,0.25003,0.54713,0.89323
-18.83219,9.03803,1.00057,-0.99762,0.06891,-0.00137,0.98979,0.0,0.0,nan,0.0,0.00757,0.07836,4.89869,1.86533,0.22335,0.19062,0.4666,0.71323,0.5361,0.4666
-18.58507,9.04047,3.03918,-0.93166,0.03483,0.36166,0.96865,0.0,0.0,nan,0.0,0.00467,0.21831,10.41843,1.83292,0.23143,0.68269,0.99332,0.16883,0.54558,0.99332
-18.11086,8.94103,4.21297,-0.75842,-0.05475,0.64946,0.92179,0.0,0.0,nan,0.0,0.00385,0.03096,25.03786,1.8238,0.23314,0.7149,0.82554,0.24746,0.54831,0.82554
-18.04935,10.53923,-2.01926,-0.777,-0.00347,-0.62949,0.96398,0.0,0.0,nan,0.0,0.00596,0.02609,24.53619,1.75367,0.23765,0.56109,0.58035,0.44004,0.57023,0.58035
-18.51982,11.02048,-1.08686,-0.90233,0.00541,-0.43101,0.95297,0.0,0.0,nan,0.0,0.00249,0.03277,23.39229,1.90227,0.21903,0.67868,0.93627,0.30147,0.52569,0.93627
-18.71392,11.03273,1.01831,-0.99819,0.05803,0.01552,0.9707,0.0,0.0,nan,0.0,0.01842,0.15689,4.70943,1.80681,0.23582,0.3746,0.80444,0.54061,0.55346,0.80444
-18.40665,10.95395,3.09087,-0.93018,0.09363,0.35496,0.95267,0.0,0.0,nan,0.0,0.00765,0.19857,21.32687,1.80681,0.23577,0.42147,0.89152,0.18274,0.55346,0.89152
-18.09346,10.97301,4.23605,-0.79,0.0787,0.60803,0.93533,0.0,0.0,nan,0.0,0.00549,0.03775,34.32197,1.86797,0.23743,0.50493,0.62017,0.30453,0.53534,0.62017
-18.1099,13.06711,-2.18059,-0.84448,-0.08899,-0.52815,0.95453,0.0,0.0,nan,0.0,0.00753,0.02788,27.61193,1.90431,0.22839,0.68636,0.58388,0.42205,0.52513,0.58388
-18.50852,13.01158,-1.05518,-0.94583,-0.01412,-0.32436,0.9591,0.0,0.0,nan,0.0,0.00259,0.04217,30.36491,1.80445,0.23426,0.78018,0.96391,0.26587,0.55419,0.96391
-18.60376,12.90123,0.90003,-0.99684,0.07119,0.03536,0.97635,0.0,0.0,nan,0.0,0.01193,0.07668,4.70177,2.0207,0.2268,0.34111,0.57241,0.65013,0.49488,0.57241
-18.27372,12.98452,3.06316,-0.91821,0.06666,0.39044,0.944,0.0,0.0,nan,0.0,0.0055,0.09354,30.20094,1.80681,0.24545,0.32034,0.69769,0.19562,0.55346,0.69769
-18.06335,12.4779,4.17485,-0.76134,0.08052,0.64333,0.90416,0.0,0.0,nan,0.0,0.00364,0.0311,33.03662,3.1921,0.23247,0.41839,0.74793,0.29661,0.31327,0.74793
-18.07266,14.72864,-2.19609,-0.92068,-0.01364,-0.39009,0.97216,0.0,0.0,nan,0.0,0.01176,0.07096,25.14711,1.70435,0.23998,0.77593,0.61286,0.23063,0.58673,0.61286
-18.33528,15.02729,-0.98636,-0.98271,0.09325,-0.15993,0.98853,0.0,0.0,nan,0.0,0.01467,0.05965,7.18976,3.32093,0.24069,0.65543,0.74078,0.47967,0.30112,0.74078
-18.37157,15.03323,0.99134,-0.99101,0.12827,0.03802,0.97761,0.0,0.0,nan,0.0,0.00519,0.02597,10.41617,1.64256,0.23925,0.51999,0.40185,0.45816,0.60881,0.40185
-18.15719,15.00762,2.82765,-0.96024,0.08906,0.2646,0.96281,0.0,0.0,nan,0.0,0.00989,0.04179,14.07503,3.20353,0.23674,0.60922,0.74137,0.44371,0.31216,0.74137
-18.18567,17.08048,-0.81996,-0.99047,0.13339,-0.03436,0.98755,0.0,0.0,nan,0.0,0.00358,0.02191,17.08981,1.64256,0.23864,0.44189,0.4311,0.41285,0.60881,0.4311
-18.24646,16.66814,0.85189,-0.97529,0.21668,0.0432,0.99369,0.0,0.0,nan,0.0,0.0039,0.02836,17.51515,1.80681,0.23288,0.37098,0.3926,0.41251,0.55346,0.3926
-18.18986,16.64079,2.66802,-0.97838,0.16108,0.12975,0.98258,0.0,0.0,nan,0.0,0.00571,0.03155,19.34803,1.92433,0.23614,0.51242,0.52303,0.38993,0.51966,0.52303
-18.01459,19.97212,-2.02531,-0.94282,-0.01195,-0.33309,0.90747,0.0,0.0,nan,0.0,0.00646,0.02718,25.13278,2.90276,0.24724,0.51341,0.42126,0.5,0.3445,0.42126
-18.00828,19.16,-1.31239,-0.99072,0.01769,-0.13474,0.94858,0.0,0.0,nan,0.0,0.00573,0.03964,19.34406,2.02049,0.22823,0.26735,0.53189,0.59713,0.49493,0.53189
-18.0185,20.16305,-2.02352,-0.93875,-0.02262,-0.34384,0.90114,0.0,0.0,nan,0.0,0.00573,0.02475,24.25958,2.83854,0.23988,0.52821,0.58995,0.47425,0.35229,0.58995
-18.20765,20.93095,-0.95482,-0.99587,-0.04768,-0.07726,0.93709,0.0,0.0,nan,0.0,0.00971,0.03823,17.48423,3.14068,0.23628,0.50887,0.43179,0.55621,0.3184,0.43179
-18.21479,21.15384,0.92848,-0.99348,-0.00429,0.1139,0.97635,0.0,0.0,nan,0.0,0.00442,0.01622,24.01815,1.69532,0.23232,0.45201,0.46017,0.65263,0.58986,0.46017
-18.06118,20.94601,2.27781,-0.99776,0.01622,0.0649,0.97781,0.0,0.0,nan,0.0,0.00603,0.0181,24.24343,1.69388,0.23736,0.39666,0.40009,0.90946,0.59036,0.40009
-18.00751,22.87791,-0.8236,-0.99693,0.07735,-0.01179,0.97703,0.0,0.0,nan,0.0,0.01067,0.03098,13.49866,2.08254,0.2302,0.67439,0.6077,0.58631,0.48018,0.6077
-18.03643,22.05419,0.24653,-0.98786,0.04512,0.14868,0.98804,0.0,0.0,nan,0.0,0.00881,0.03146,22.64553,1.80681,0.22597,0.61625,0.51084,0.49446,0.55346,0.51084
-18.00589,24.70383,-0.57208,-0.9986,0.02953,0.04396,0.97683,0.0,0.0,nan,0.0,0.00767,0.02697,14.01313,2.01351,0.23057,0.6932,0.82547,0.6179,0.49664,0.82547
-16.96608,3.57573,-0.60542,-0.37812,-0.78444,-0.4916,0.98229,0.0,0.0,nan,0.0,0.01342,0.02706,20.95478,1.64256,0.23992,0.54716,0.56231,0.99295,0.60881,0.56231
-16.88924,2.78591,0.90686,-0.32649,-0.89396,-0.307,0.97567,0.0,0.0,nan,0.0,0.01356,0.0366,18.96515,1.69753,0.23673,0.553,0.55753,0.74089,0.58909,0.55753
-17.05224,2.36986,3.08967,-0.37279,-0.90479,0.20586,0.86607,0.0,0.0,nan,0.0,0.01379,0.06155,21.06174,1.80681,0.25086,0.60129,0.59586,0.40795,0.55346,0.59586
-16.95173,3.18706,4.74237,-0.43179,-0.5431,0.72013,0.83626,0.0,0.0,nan,0.0,0.00571,0.03213,13.71262,1.71322,0.23746,0.35887,0.39726,0.56702,0.5837,0.39726
-16.89362,5.03886,-2.93547,-0.55802,-0.4975,-0.66416,0.93007,0.0,0.0,nan,0.0,0.0052,0.02484,19.95106,1.80681,0.23806,0.53805,0.82414,0.56072,0.55346,0.82414
-17.09938,4.57323,-1.48781,-0.51964,-0.65251,-0.55155,0.97859,0.0,0.0,nan,0.0,0.01244,0.0306,21.89119,1.8558,0.24005,0.57192,0.5308,0.77601,0.53885,0.5308
-16.96807,4.97124,5.16714,-0.48759,-0.06173,0.87089,0.93796,0.0,0.0,nan,0.0,0.00719,0.02021,16.37162,2.19267,0.22745,0.5727,0.50796,0.6974,0.45606,0.50796
-16.00447,7.23962,-4.02285,-0.51911,-0.00979,-0.85465,0.98307,0.0,0.0,nan,0.0,0.00511,0.05148,14.55295,1.64256,0.2495,0.6889,0.91465,0.34641,0.60881,0.91465
-17.09713,6.99195,-3.24824,-0.65167,-0.06482,-0.75573,0.95755,0.0,0.0,nan,0.0,0.00343,0.05222,21.12343,2.00042,0.23461,0.65875,0.94869,0.29969,0.49989,0.94869
-16.92951,6.98894,4.96379,-0.47988,0.00724,0.8773,0.98336,0.0,0.0,nan,0.0,0.00586,0.0134,18.89591,2.06899,0.22819,0.55444,0.65474,0.87282,0.48333,0.65474
-16.99043,9.05431,-3.01832,-0.67843,0.0853,-0.7297,0.99759,0.0,0.0,nan,0.0,0.00403,0.02065,20.8811,1.86339,0.23434,0.48599,0.47426,0.43975,0.53666,0.47426
-17.05152,8.84714,5.20872,-0.47892,-0.10094,0.87203,0.94917,0.0,0.0,nan,0.0,0.00684,0.02034,22.98714,1.97178,0.23812,0.59844,0.29928,0.61069,0.50716,0.29928
-16.0117,9.76638,6.02626,-0.39392,-0.05276,0.91763,0.96514,0.0,0.0,nan,0.0,0.00756,0.01581,23.85813,1.6666,0.24147,0.56125,0.39893,0.92365,0.60003,0.39893
-16.02921,11.34718,-4.06296,-0.69426,-0.18926,-0.6944,0.98619,0.0,0.0,nan,0.0,0.00808,0.02001,30.3747,1.64256,0.2468,0.49525,0.36226,0.86913,0.60881,0.36226
-17.07285,10.98406,-2.77503,-0.71419,-0.05568,-0.69773,0.99622,0.0,0.0,nan,0.0,0.00553,0.01419,24.86106,1.74431,0.23658,0.50004,0.56597,0.8424,0.57329,0.56597
-17.4577,11.26975,-1.73836,-0.78167,-0.04658,-0.62195,0.97927,0.0,0.0,nan,0.0,0.00772,0.02775,27.56252,1.68651,0.24462,0.62693,0.52309,0.47607,0.59294,0.52309
-17.12349,11.05194,5.26546,-0.51443,0.07057,0.85463,0.9216,0.0,0.0,nan,0.0,0.00817,0.02655,26.74058,1.83545,0.24147,0.55632,0.3101,0.59441,0.54483,0.3101
-16.22781,13.5267,-4.47374,-0.70953,-0.22704,-0.6671,0.99047,0.0,0.0,nan,0.0,0.01714,0.04593,23.46616,1.7173,0.2354,0.65208,0.73308,0.62086,0.58231,0.73308
-17.05777,12.85032,-3.19257,-0.76069,-0.20786,-0.61494,0.99457,0.0,0.0,nan,0.0,0.00635,0.01811,24.75132,1.74374,0.23082,0.55509,0.47775,0.68234,0.57348,0.47775
-17.96279,13.82381,3.92659,-0.80283,0.0338,0.59524,0.91127,0.0,0.0,nan,0.0,0.00438,0.05283,33.23585,1.95457,0.23705,0.36592,0.69201,0.24045,0.51162,0.69201
-17.20484,13.00936,5.103,-0.55195,0.05311,0.83218,0.93631,0.0,0.0,nan,0.0,0.00662,0.0204,23.70386,2.03186,0.23234,0.52341,0.64315,0.67227,0.49216,0.64315
-16.59265,14.9952,-4.7347,-0.73502,-0.13106,-0.66526,0.96777,0.0,0.0,nan,0.0,0.00517,0.06438,21.22638,1.68266,0.23682,0.79299,0.95981,0.33726,0.5943,0.95981
-17.56204,14.94983,-3.31442,-0.8672,-0.07697,-0.49197,0.98122,0.0,0.0,nan,0.0,0.00799,0.04555,22.1908,1.64256,0.24068,0.70999,0.74872,0.26937,0.60881,0.74872
-17.9952,15.9347,-1.65517,-0.97144,0.08709,-0.22072,0.99106,0.0,0.0,nan,0.0,0.01107,0.07586,10.1982,1.88559,0.22999,0.69054,0.47695,0.25283,0.53034,0.47695
-17.93745,15.13484,3.82916,-0.89116,0.03349,0.45245,0.93105,0.0,0.0,nan,0.0,0.00876,0.04242,15.75982,1.73283,0.24523,0.51184,0.39802,0.45453,0.57709,0.39802
-17.00444,14.97506,4.90003,-0.64278,-0.12008,0.75658,0.9705,0.0,0.0,nan,0.0,0.0039,0.02874,20.6785,1.69583,0.24455,0.43018,0.29266,0.34574,0.58968,0.29266
-16.06779,15.89778,6.04261,-0.52088,-0.21752,0.82545,0.96963,0.0,0.0,nan,0.0,0.00988,0.04166,19.6223,2.54071,0.23516,0.65626,0.38817,0.39831,0.39359,0.38817
-16.65404,16.99956,-4.77543,-0.75409,0.07647,-0.6523,0.9592,0.0,0.0,nan,0.0,0.01167,0.08517,20.21935,1.8336,0.22649,0.84038,0.845,0.25753,0.54537,0.845
-17.54189,17.00974,-2.98572,-0.92431,0.077,-0.37378,0.98755,0.0,0.0,nan,0.0,0.01253,0.07212,12.21431,1.64256,0.2373,0.64499,0.44095,0.31355,0.60881,0.44095
-17.99598,16.77506,-1.41744,-0.98527,0.12092,-0.12089,0.99369,0.0,0.0,nan,0.0,0.00249,0.02098,12.61663,1.92816,0.23437,0.42082,0.42347,0.32682,0.51863,0.42347
-17.67679,17.43801,1.20236,-0.9798,0.19038,0.06124,0.99271,0.0,0.0,nan,0.0,0.00627,0.03147,23.26553,1.80681,0.23789,0.40532,0.41367,0.53339,0.55346,0.41367
-17.89907,17.49721,3.0954,-0.9862,0.11824,0.11593,0.98697,0.0,0.0,nan,0.0,0.0077,0.02958,19.41514,1.72118,0.23488,0.48949,0.71252,0.58615,0.581,0.71252
-17.228,17.03988,5.12153,-0.818,-0.00663,0.57518,0.94206,0.0,0.0,nan,0.0,0.00623,0.04962,31.93438,1.64256,0.23867,0.71009,0.90285,0.36754,0.60881,0.90285
-16.22929,17.05364,6.16915,-0.59786,-0.0916,0.79635,0.96485,0.0,0.0,nan,0.0,0.00989,0.05266,22.61057,2.39518,0.2268,0.74621,0.79963,0.32571,0.41751,0.79963
