cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score,band_ratio,band_amp_um,peak_freq,spectral_spread,local_coherence,global_coherence,coverage,ridge_period_mm,straightness
-22.11158,3.66619,-2.25834,-0.85393,-0.37452,-0.36132,0.74088,0.0,0.0,nan,0.0,0.00811,0.13705,18.90162,2.02887,0.22752,0.76387,0.94139,0.22106,0.49288,0.94139
-22.18507,3.57841,-1.46281,-0.90548,-0.41186,-0.10235,0.79215,0.0,0.0,nan,0.0,0.01447,0.0391,12.67089,2.50376,0.22816,0.50859,0.62795,0.84257,0.3994,0.62795
-22.09104,4.59297,-2.26715,-0.90486,-0.18863,-0.38165,0.8296,0.0,0.0,nan,0.0,0.00998,0.0957,32.12064,1.69473,0.24796,0.55241,0.76727,0.21229,0.59006,0.76727
-22.1578,5.0306,-1.3265,-0.98715,-0.10357,-0.12166,0.93554,0.0,0.0,nan,0.0,0.01177,0.0406,9.72355,3.58114,0.23803,0.64928,0.38111,0.53823,0.27924,0.38111
-22.0119,4.68622,1.14461,-0.94113,-0.2835,0.18411,0.92202,0.0,0.0,nan,0.0,0.00596,0.02718,15.2559,1.89452,0.23035,0.52452,0.73194,0.47282,0.52784,0.73194
-22.00145,6.12621,-0.67062,-0.99989,0.01265,0.00732,0.99372,0.0,0.0,nan,0.0,0.01702,0.06114,8.10687,1.85829,0.23588,0.6074,0.5929,0.57131,0.53813,0.5929
-22.0326,9.60929,-0.82902,-0.99887,-0.02881,-0.03768,0.96588,0.0,0.0,nan,0.0,0.01895,0.08339,3.86838,2.01235,0.22835,0.38251,0.77553,0.9816,0.49693,0.77553
-22.00849,9.99781,0.09121,-0.99897,-0.0371,0.0262,0.96688,0.0,0.0,nan,0.0,0.01234,0.08228,4.06548,1.88684,0.22749,0.23279,0.62014,0.96112,0.52999,0.62014
-22.03827,11.01528,-0.73779,-0.99908,-0.02488,-0.03502,0.96388,0.0,0.0,nan,0.0,0.01835,0.09136,4.07569,1.64858,0.2336,0.30332,0.62335,0.98718,0.60658,0.62335
-22.04622,11.1697,0.63497,-0.99792,-0.03204,0.05598,0.96048,0.0,0.0,nan,0.0,0.01335,0.08925,4.39281,1.81344,0.22401,0.22647,0.64634,0.96143,0.55144,0.64634
-22.01489,13.29911,-2.13226,-0.98608,-0.01656,-0.16545,0.96809,0.0094,0.047,0.51,1.0,0.01821,0.11587,8.74839,1.64858,0.23675,0.49365,0.85486,0.58861,0.60658,0.85486
-22.0529,13.09393,-1.01696,-0.99843,-0.00387,-0.0559,0.96829,0.0,0.0,nan,0.0,0.01805,0.11568,6.18147,2.02449,0.22884,0.27548,0.76282,0.78182,0.49395,0.76282
-22.06091,12.99758,0.77888,-0.99854,-0.00284,0.05401,0.96358,0.0,0.0,nan,0.0,0.01973,0.11603,5.08475,1.72734,0.22592,0.25883,0.57248,0.91546,0.57893,0.57248
-22.00266,14.26059,-2.00147,-0.99117,-0.00342,-0.13258,0.9757,0.0,0.0,nan,0.0,0.01333,0.09183,7.55883,1.69503,0.23721,0.42862,0.86831,0.68921,0.58996,0.86831
-22.05778,15.01332,-0.95049,-0.99916,0.00743,-0.04033,0.96208,0.04961,0.24807,0.51,1.0,0.01096,0.10459,6.53164,1.72185,0.22809,0.22492,0.56016,0.60876,0.58077,0.56016
